Newspaper,Decade,Year,Month,Day,Filename,Faces,Face Detected,Pages
IMP,1880,1882,05,04,p0001.jpg,0,0,1
IMP,1880,1882,05,04,p0002.jpg,0,0,1
IMP,1880,1882,05,04,p0003.jpg,0,0,1
IMP,1880,1882,05,04,p0004.jpg,0,0,1
IMP,1880,1882,06,17,p0001.jpg,0,0,1
IMP,1880,1882,06,17,p0002.jpg,0,0,1
IMP,1880,1882,06,17,p0003.jpg,0,0,1
IMP,1880,1882,06,17,p0004.jpg,0,0,1
IMP,1880,1882,07,12,p0001.jpg,0,0,1
IMP,1880,1882,07,12,p0002.jpg,0,0,1
IMP,1880,1882,07,12,p0003.jpg,0,0,1
IMP,1880,1882,07,12,p0004.jpg,0,0,1
IMP,1880,1887,08,25,p0001.jpg,1,1,1
IMP,1880,1887,08,25,p0002.jpg,0,0,1
IMP,1880,1887,08,25,p0003.jpg,0,0,1
IMP,1880,1887,08,25,p0004.jpg,0,0,1
IMP,1880,1887,08,25,p0005.jpg,0,0,1
IMP,1880,1887,08,25,p0006.jpg,0,0,1
IMP,1880,1887,08,25,p0007.jpg,0,0,1
IMP,1880,1887,08,25,p0008.jpg,0,0,1
IMP,1880,1887,09,06,p0001.jpg,0,0,1
IMP,1880,1887,09,06,p0002.jpg,0,0,1
IMP,1880,1887,09,06,p0003.jpg,0,0,1
IMP,1880,1887,09,06,p0004.jpg,0,0,1
IMP,1880,1887,09,06,p0005.jpg,0,0,1
IMP,1880,1887,09,06,p0006.jpg,0,0,1
IMP,1880,1887,10,25,p0001.jpg,0,0,1
IMP,1880,1887,10,25,p0002.jpg,0,0,1
IMP,1880,1887,10,25,p0003.jpg,0,0,1
IMP,1880,1887,10,25,p0004.jpg,0,0,1
IMP,1880,1887,10,25,p0005.jpg,0,0,1
IMP,1880,1887,10,25,p0006.jpg,0,0,1
IMP,1880,1887,10,25,p0007.jpg,0,0,1
IMP,1880,1887,10,25,p0008.jpg,0,0,1
IMP,1890,1892,05,15,p0001.jpg,1,1,1
IMP,1890,1892,05,15,p0002.jpg,0,0,1
IMP,1890,1892,05,15,p0003.jpg,0,0,1
IMP,1890,1892,05,15,p0004.jpg,0,0,1
IMP,1890,1892,05,15,p0005.jpg,2,1,1
IMP,1890,1892,05,15,p0006.jpg,1,1,1
IMP,1890,1892,05,15,p0007.jpg,0,0,1
IMP,1890,1892,05,15,p0008.jpg,1,1,1
IMP,1890,1892,10,14,p0001.jpg,0,0,1
IMP,1890,1892,10,14,p0002.jpg,0,0,1
IMP,1890,1892,10,14,p0003.jpg,0,0,1
IMP,1890,1892,10,14,p0004.jpg,0,0,1
IMP,1890,1892,10,14,p0005.jpg,0,0,1
IMP,1890,1892,10,14,p0006.jpg,0,0,1
IMP,1890,1892,10,14,p0007.jpg,0,0,1
IMP,1890,1892,10,14,p0008.jpg,0,0,1
IMP,1890,1892,10,14,p0009.jpg,1,1,1
IMP,1890,1892,10,14,p0010.jpg,0,0,1
IMP,1890,1892,11,11,p0001.jpg,1,1,1
IMP,1890,1892,11,11,p0002.jpg,0,0,1
IMP,1890,1892,11,11,p0003.jpg,0,0,1
IMP,1890,1892,11,11,p0004.jpg,0,0,1
IMP,1890,1892,11,11,p0005.jpg,0,0,1
IMP,1890,1892,11,11,p0006.jpg,3,1,1
IMP,1890,1892,11,11,p0007.jpg,0,0,1
IMP,1890,1892,11,11,p0008.jpg,1,1,1
IMP,1890,1897,02,05,p0001.jpg,0,0,1
IMP,1890,1897,02,05,p0002.jpg,0,0,1
IMP,1890,1897,02,05,p0003.jpg,0,0,1
IMP,1890,1897,02,05,p0004.jpg,0,0,1
IMP,1890,1897,02,05,p0005.jpg,0,0,1
IMP,1890,1897,02,05,p0006.jpg,0,0,1
IMP,1890,1897,02,05,p0007.jpg,0,0,1
IMP,1890,1897,02,05,p0008.jpg,0,0,1
IMP,1890,1897,02,05,p0009.jpg,2,1,1
IMP,1890,1897,02,05,p0010.jpg,0,0,1
IMP,1890,1897,05,13,p0001.jpg,0,0,1
IMP,1890,1897,05,13,p0002.jpg,0,0,1
IMP,1890,1897,05,13,p0003.jpg,0,0,1
IMP,1890,1897,05,13,p0004.jpg,0,0,1
IMP,1890,1897,05,13,p0005.jpg,1,1,1
IMP,1890,1897,05,13,p0006.jpg,2,1,1
IMP,1890,1897,05,13,p0007.jpg,0,0,1
IMP,1890,1897,05,13,p0008.jpg,0,0,1
IMP,1890,1897,06,17,p0001.jpg,0,0,1
IMP,1890,1897,06,17,p0002.jpg,0,0,1
IMP,1890,1897,06,17,p0003.jpg,0,0,1
IMP,1890,1897,06,17,p0004.jpg,0,0,1
IMP,1890,1897,06,17,p0005.jpg,0,0,1
IMP,1890,1897,06,17,p0006.jpg,1,1,1
IMP,1890,1897,06,17,p0007.jpg,0,0,1
IMP,1890,1897,06,17,p0008.jpg,0,0,1
IMP,1900,1902,07,22,p0001.jpg,0,0,1
IMP,1900,1902,07,22,p0002.jpg,0,0,1
IMP,1900,1902,07,22,p0003.jpg,1,1,1
IMP,1900,1902,07,22,p0004.jpg,0,0,1
IMP,1900,1902,07,22,p0005.jpg,0,0,1
